TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
ev_communication_fail_491195_TL,5606.490000.TL1,trend_log_input_ref not found,490000.EV2.Event_State,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
ev_communication_fail_491196_TL,5606.490000.TL2,trend_log_input_ref not found,490000.EV3.Event_State,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
ev_communication_fail_491395_TL,5606.490000.TL3,trend_log_input_ref not found,490000.EV4.Event_State,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
ev_communication_fail_491396_TL,5606.490000.TL4,trend_log_input_ref not found,490000.EV5.Event_State,trend_log_input_ref not found,Monitored Object does not exist.,0,trend_log_input_ref not found
HS_AHU101_SF_MOD_TL,5606.490100.TL1,HS_AHU101_SF_MOD,490100.AO1301.Present_Value,2020-06-02 05:02:25,84.0,30000,%
HS_AHU101_RF_MOD_TL,5606.490100.TL2,HS_AHU101_RF_MOD,490100.AO1302.Present_Value,2020-06-02 05:02:26,84.0,30000,%
HS_AHU101_HW_SP_MOD_TL,5606.490100.TL3,HS_AHU101_HW_MOD,490100.AO1303.Present_Value,2020-06-02 05:02:17,59.0,30000,%
HS_AHU101_HW_BP_DMP_MOD_TL,5606.490100.TL4,HS_AHU101_HW_BP_DMP_SUP_MOD,490100.AO1304.Present_Value,2020-06-02 05:02:19,74.0,30000,%
HS_AHU101_HV_MOD_TL,5606.490100.TL5,HS_AHU101_HV_MOD,490100.AO1401.Present_Value,2020-06-02 05:02:20,84.0,30000,%
HS_AHU101_CV_MOD_TL,5606.490100.TL6,HS_AHU101_CV_MOD,490100.AO1402.Present_Value,2020-06-02 05:02:21,84.0,30000,%
HS_AHU101_HUM_MOD_TL,5606.490100.TL7,HS_AHU101_HUM_MOD,490100.AO1403.Present_Value,2020-06-02 05:02:22,85.0,30000,%
